"","lead_id","name","company","qualification_level_code_text","user_status_code_text","account_life_cycle_status_code_text","life_cycle_status_code_text","origin_type_code_text","priority_code_text","group_code_text","c4c_account_state","bci_project_state","bci_project_type","bci_project_status","estimated_project_value","bci_project_stage","opportunity_id","sale","project_state","log_value","type"
"1",19003,"T-PORTS GRAIN PORT - YORKE PENINSULA","T-ports Australia","Hot","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","SA","South Australia","port | grain storage facilities","Development Approval",1e+08,"Documentation","NULL","0","Development Approval",18.4206807439524,"other"
"2",19006,"AGRIBUSINESS &amp; ARTISANS VILLAGE","Calibre Consulting (formerly TME To","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","WA","Western Australia","commercial precinct - up to 2 storey","Development Approval",4500000,"Documentation","NULL","0","Development Approval",15.3195879547405,"commercial"
"3",19019,"6 Crosby Rd Lot 1 RP66492, Lots 54, 55, 57 & 58 RP19034 & 5-9 Frodsham St Albion QLD 4010","Cardno QLD Pty Ltd -  Fortitude Val","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","QLD","Queensland","commercial tenancies (8) - alterations & additions - 2 storey","Development Approval",2e+06,"Documentation","NULL","0","Development Approval",14.5086577385242,"commercial"
"4",19033,"8 Railway Pde Lots 16 & 23 on RP 40218 & 13 Mount St Nerang QLD 4211","Lindlight Holdings Pty Ltd (tr","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","QLD","Queensland","apartments (10) | food & drink outlet - 3 & 4 storey","Abandoned",3e+06,"Documentation","NULL","0","low_chance",14.9141228466324,"apartment"
"5",19042,"GARDINER ON THE PARK","Meinhardt Group - Melbourne","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (27) - part 4 & 10 storey","Tenders To Be Called",5700000,"Documentation","NULL","0","Tenders To Be Called",15.5559767328048,"apartment"
"6",19046,"FLORIAN LIVING","Landcore Holdings Pty Ltd","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","subdivision (215 lots) - residential","Development Approval",10750000,"Documentation","NULL","0","Development Approval",16.1904163125379,"other"
"7",19049,"36 St Kilda Rd Lot 1 on TP837370 St Kilda VIC 3182","Urbis Pty Ltd - Melbourne","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (13) | shop - 8 storey","Development Approval",4e+06,"Documentation","NULL","0","Development Approval",15.2018049190842,"apartment"
"8",19060,"KIRIWHAKAPAPA TRAIL","Department of Conservation - Wairar","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NZ","New Zealand","cycle trail","Abandoned",3370000,"Concept","NULL","0","low_chance",15.0304233023285,"road"
"9",19067,"150-160 Turner St Port Melbourne VIC 3207","Ratio Consultants Pty Ltd","Hot","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","VIC","Victoria","apartments (361) | office | shop - 30 storey","Deferred",1e+08,"Documentation","NULL","0","low_chance",18.4206807439524,"apartment"
"10",19071,"REMUTAKA DESCENT","Department of Conservation - Wairar","Warm","Declined","Active","Declined","BCI/Cordell","Normal","Commercial Project","NZ","New Zealand","cycle trail","Abandoned",3370000,"Concept","NULL","0","low_chance",15.0304233023285,"road"
"11",19073,"WAIRARAPA REGIONAL MOUNTAIN BIKE TRAILS","Department of Conservation - Wairar","Warm","Qualified","Active","Qualified","BCI/Cordell","Normal","Commercial Project","NZ","New Zealand","cycle trail","Abandoned",5e+06,"Concept","NULL","0","low_chance",15.4249484703984,"road"
